IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.17.215.230,4,4,0.00,269.21,2.23
104.16.207.60,4,4,0.00,271.09,2.22
104.16.155.165,4,4,0.00,250.51,2.19
104.17.118.175,4,4,0.00,252.44,2.19
104.17.173.130,4,4,0.00,279.60,2.16
104.17.180.149,4,4,0.00,280.55,2.15
104.16.207.29,4,4,0.00,270.19,2.12
104.16.198.230,4,4,0.00,260.73,2.10
104.17.161.46,4,4,0.00,244.89,2.06
104.16.146.187,4,4,0.00,262.89,2.04
104.16.193.237,4,4,0.00,262.18,2.02
104.17.167.169,4,4,0.00,255.31,2.02
104.17.168.240,4,4,0.00,268.92,2.01
104.17.172.127,4,4,0.00,267.06,2.00
104.17.213.204,4,4,0.00,257.17,1.94
104.16.148.180,4,4,0.00,249.38,1.92
104.17.107.235,4,4,0.00,270.10,1.92
104.18.176.153,4,4,0.00,249.12,1.90
104.16.156.76,4,4,0.00,259.08,1.84
104.16.155.188,4,4,0.00,261.53,1.83
104.17.216.39,4,4,0.00,246.49,1.80
104.19.157.145,4,4,0.00,250.47,1.79
104.17.171.197,4,4,0.00,250.84,1.75
104.18.85.216,4,4,0.00,280.42,1.72
104.16.206.165,4,4,0.00,268.76,1.70
104.16.207.25,4,4,0.00,255.00,1.70
104.16.146.211,4,4,0.00,253.46,1.68
104.16.201.248,4,4,0.00,258.45,1.66
104.17.127.196,4,4,0.00,249.19,1.66
104.16.243.144,4,4,0.00,281.12,1.65
104.17.118.126,4,4,0.00,268.09,1.65
104.16.146.223,4,4,0.00,263.95,1.61
104.17.127.251,4,4,0.00,247.10,1.60
104.17.178.245,4,4,0.00,259.32,1.52
104.17.119.80,4,4,0.00,267.14,1.49
104.16.148.172,4,4,0.00,246.91,1.48
104.17.114.9,4,4,0.00,257.54,1.47
104.17.104.96,4,4,0.00,243.21,1.47
104.16.195.21,4,4,0.00,261.03,1.45
104.16.155.233,4,4,0.00,270.67,1.35
104.16.144.164,4,4,0.00,261.95,1.33
104.17.163.90,4,4,0.00,254.04,1.27
104.17.118.62,4,4,0.00,247.19,1.25
104.17.155.15,4,4,0.00,245.08,1.25
104.16.157.121,4,4,0.00,249.42,1.23
104.17.109.56,4,4,0.00,256.25,1.21
104.17.190.246,4,4,0.00,262.64,1.20
104.16.148.159,4,4,0.00,243.94,1.19
104.16.248.171,4,4,0.00,268.01,1.16
104.17.151.175,4,4,0.00,246.86,1.14
